station_name,componentId
Clay at Battery,0
Davis at Jackson,0
Commercial at Montgomery,0
Washington at Kearney,3
Post at Kearney,4
Embarcadero at Vallejo,0
Spear at Folsom,0
Harry Bridges Plaza (Ferry Building),0
Embarcadero at Folsom,0
Powell Street BART,0
Embarcadero at Bryant,0
Temporary Transbay Terminal (Howard at Beale),0
Beale at Market,0
5th at Howard,0
San Francisco City Hall,14
Golden Gate at Polk,15
Embarcadero at Sansome,0
2nd at Townsend,0
2nd at Folsom,0
Howard at 2nd,0
2nd at South Park,0
Townsend at 7th,0
South Van Ness at Market,0
Market at 10th,0
Yerba Buena Center of the Arts (3rd @ Howard),0
San Francisco Caltrain 2 (330 Townsend),0
San Francisco Caltrain (Townsend at 4th),0
Powell at Post (Union Square),27
Civic Center BART (7th at Market),0
Grant Avenue at Columbus Avenue,0
Steuart at Market,0
Mechanics Plaza (Market at Battery),0
Market at 4th,0
Market at Sansome,0
Broadway St at Battery St,0
