start_station,end_station,trip_count
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,2471
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,2337
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),2291
2nd at Townsend,Harry Bridges Plaza (Ferry Building),2001
Harry Bridges Plaza (Ferry Building),2nd at Townsend,1784
Embarcadero at Sansome,Steuart at Market,1744
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),1703
Steuart at Market,2nd at Townsend,1640
Market at 10th,San Francisco Caltrain 2 (330 Townsend),1579
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),1575
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),1510
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),1449
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),1347
Townsend at 7th,Civic Center BART (7th at Market),1291
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,1281
Steuart at Market,Embarcadero at Sansome,1281
Steuart at Market,San Francisco Caltrain (Townsend at 4th),1272
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),1248
Civic Center BART (7th at Market),Townsend at 7th,1216
San Francisco Caltrain 2 (330 Townsend),5th at Howard,1209
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),1189
2nd at Townsend,Steuart at Market,1160
5th at Howard,San Francisco Caltrain 2 (330 Townsend),1135
2nd at South Park,Market at Sansome,1110
San Francisco Caltrain 2 (330 Townsend),Market at 10th,1037
Market at 4th,San Francisco Caltrain (Townsend at 4th),1015
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),1009
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,982
Market at Sansome,2nd at South Park,951
San Francisco Caltrain (Townsend at 4th),Steuart at Market,902
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,895
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),892
Market at 10th,Market at 4th,879
Beale at Market,San Francisco Caltrain (Townsend at 4th),838
Embarcadero at Bryant,San Francisco Caltrain (Townsend at 4th),827
Grant Avenue at Columbus Avenue,Market at Sansome,811
San Francisco Caltrain (Townsend at 4th),Townsend at 7th,805
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),798
Market at 4th,Market at 10th,797
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),784
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,776
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),754
Market at 10th,San Francisco Caltrain (Townsend at 4th),750
San Francisco Caltrain (Townsend at 4th),Davis at Jackson,735
San Francisco Caltrain 2 (330 Townsend),Harry Bridges Plaza (Ferry Building),729
Beale at Market,Broadway St at Battery St,725
Clay at Battery,San Francisco Caltrain (Townsend at 4th),721
Powell Street BART,Market at 10th,714
2nd at Folsom,Market at Sansome,711
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),709
Market at Sansome,San Francisco Caltrain (Townsend at 4th),701
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),698
